indicator,age_modifier,sex_modifier,value,county,sub_indicator
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,68,Garissa,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,56,Garissa,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,136,Wajir,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,113,Wajir,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,185,Mandera,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,143,Mandera,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,76,Marsabit,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,79,Marsabit,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,76,Isiolo,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,78,Isiolo,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,31,Meru,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,26,Meru,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,16,Tharaka-Nithi,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,14,Tharaka-Nithi,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,23,Embu,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,17,Embu,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,22,Kitui,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,15,Kitui,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,16,Makueni,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,14,Makueni,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,20,Nyeri,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,17,Nyeri,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,187,Turkana,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,176,Turkana,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,58,West Pokot,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,54,West Pokot,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,85,Samburu,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,75,Samburu,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,37,Baringo,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,32,Baringo,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,37,Laikipia,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,33,Laikipia,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,41,Narok,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,31,Narok,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,35,Kajiado,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,26,Kajiado,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,40,National,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,34,National,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,48,Kwale,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,39,Kwale,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,42,Kilifi,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,48,Kilifi,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,50,Tana River,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,43,Tana River,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,40,Lamu,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,39,Lamu,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,28,Taita Taveta,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,22,Taita Taveta,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,49,Garissa,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,35,Garissa,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,66,Wajir,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,50,Wajir,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,94,Mandera,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,63,Mandera,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,43,Marsabit,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,39,Marsabit,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,30,Isiolo,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,30,Isiolo,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,24,Meru,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,20,Meru,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,18,Tharaka-Nithi,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,16,Tharaka-Nithi,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,19,Embu,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,16,Embu,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,13,Kitui,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,23,Kitui,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,24,Makueni,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,21,Makueni,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,17,Nyeri,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,13,Nyeri,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,88,Turkana,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,65,Turkana,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,50,West Pokot,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,45,West Pokot,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,50,Samburu,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,40,Samburu,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,32,Baringo,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,27,Baringo,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,26,Laikipia,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,21,Laikipia,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,47,Narok,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,40,Narok,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,45,Kajiado,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,37,Kajiado,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,PRIMARY,MALE,33,National,Learner-Toilet ratio  PRIMARY MALE
learner_toilet_ratio_recalculated,PRIMARY,FEMALE,30,National,Learner-Toilet ratio  PRIMARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,27,Kwale,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,20,Kwale,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,33,Kilifi,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,30,Kilifi,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,29,Tana River,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,18,Tana River,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,19,Lamu,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,22,Lamu,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,22,Taita Taveta,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,22,Taita Taveta,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,23,Garissa,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,26,Garissa,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,46,Wajir,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,28,Wajir,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,30,Mandera,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,24,Mandera,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,22,Marsabit,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,19,Marsabit,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,19,Isiolo,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,18,Isiolo,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,18,Meru,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,15,Meru,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,17,Tharaka-Nithi,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,14,Tharaka-Nithi,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,12,Embu,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,13,Embu,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,17,Kitui,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,15,Kitui,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,19,Makueni,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,16,Makueni,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,12,Nyeri,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,14,Nyeri,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,40,Turkana,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,28,Turkana,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,23,West Pokot,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,18,West Pokot,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,21,Samburu,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,18,Samburu,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,20,Baringo,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,17,Baringo,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,18,Laikipia,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,14,Laikipia,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,22,Narok,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,19,Narok,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,25,Kajiado,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,20,Kajiado,Learner-Toilet ratio  SECONDARY FEMALE
learner_toilet_ratio_recalculated,SECONDARY,MALE,22,National,Learner-Toilet ratio  SECONDARY MALE
learner_toilet_ratio_recalculated,SECONDARY,FEMALE,18,National,Learner-Toilet ratio  SECONDARY FEMALE
county_population,TOTAL,TOTAL,100,Makueni,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,29.75,Makueni,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Mandera,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,40.72,Mandera,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Marsabit,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,39.72,Marsabit,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Meru,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,29.88,Meru,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Samburu,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,77.5,Samburu,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Tana River,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,39.93,Tana River,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Tharaka-Nithi,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,27.68,Tharaka-Nithi,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Turkana,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,39.42,Turkana,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Wajir,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,39.91,Wajir,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Baringo,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,36.81,Baringo,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Garissa,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,36,Garissa,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Isiolo,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,37.24,Isiolo,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Kitui,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,33.11,Kitui,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Laikipia,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,33.5,Laikipia,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Embu,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,27.66,Embu,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Kajiado,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,31.92,Kajiado,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Kilifi,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,29.02,Kilifi,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Kwale,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,37.83,Kwale,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Lamu,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,35.07,Lamu,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Narok,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,39.92,Narok,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Nyeri,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,25.72,Nyeri,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,Taita Taveta,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,29.17,Taita Taveta,School-aged children % of COUNTY POP.
county_population,TOTAL,TOTAL,100,West Pokot,County population % of COUNTY POP.
school_age_children,TOTAL,TOTAL,38.69,West Pokot,School-aged children % of COUNTY POP.
county_population,TOTAL,FEMALE,50.78,Makueni,County population FEMALE %
county_population,TOTAL,MALE,49.22,Makueni,County population MALE % 
county_population,TOTAL,FEMALE,48.98,Mandera,County population FEMALE %
county_population,TOTAL,MALE,51.02,Mandera,County population MALE % 
county_population,TOTAL,FEMALE,50.31,Marsabit,County population FEMALE %
county_population,TOTAL,MALE,49.69,Marsabit,County population MALE % 
county_population,TOTAL,FEMALE,50.29,Meru,County population FEMALE %
county_population,TOTAL,MALE,49.71,Meru,County population MALE % 
county_population,TOTAL,FEMALE,50.51,Samburu,County population FEMALE %
county_population,TOTAL,MALE,49.49,Samburu,County population MALE % 
county_population,TOTAL,FEMALE,50.57,Tana River,County population FEMALE %
county_population,TOTAL,MALE,49.43,Tana River,County population MALE % 
county_population,TOTAL,FEMALE,50.85,Tharaka-Nithi,County population FEMALE %
county_population,TOTAL,MALE,49.15,Tharaka-Nithi,County population MALE % 
county_population,TOTAL,FEMALE,50.59,Turkana,County population FEMALE %
county_population,TOTAL,MALE,49.41,Turkana,County population MALE % 
county_population,TOTAL,FEMALE,50.41,Wajir,County population FEMALE %
county_population,TOTAL,MALE,49.59,Wajir,County population MALE % 
county_population,TOTAL,FEMALE,50.71,Baringo,County population FEMALE %
county_population,TOTAL,MALE,49.29,Baringo,County population MALE % 
county_population,TOTAL,FEMALE,50.54,Garissa,County population FEMALE %
county_population,TOTAL,MALE,49.46,Garissa,County population MALE % 
county_population,TOTAL,FEMALE,51.1,Isiolo,County population FEMALE %
county_population,TOTAL,MALE,48.9,Isiolo,County population MALE % 
county_population,TOTAL,FEMALE,50.95,Kitui,County population FEMALE %
county_population,TOTAL,MALE,49.05,Kitui,County population MALE % 
county_population,TOTAL,FEMALE,51.73,Laikipia,County population FEMALE %
county_population,TOTAL,MALE,48.27,Laikipia,County population MALE % 
county_population,TOTAL,FEMALE,50.64,Embu,County population FEMALE %
county_population,TOTAL,MALE,49.36,Embu,County population MALE % 
county_population,TOTAL,FEMALE,50.26,Kajiado,County population FEMALE %
county_population,TOTAL,MALE,49.74,Kajiado,County population MALE % 
county_population,TOTAL,FEMALE,50.3,Kilifi,County population FEMALE %
county_population,TOTAL,MALE,49.7,Kilifi,County population MALE % 
county_population,TOTAL,FEMALE,50.4,Kwale,County population FEMALE %
county_population,TOTAL,MALE,49.6,Kwale,County population MALE % 
county_population,TOTAL,FEMALE,50.13,Lamu,County population FEMALE %
county_population,TOTAL,MALE,49.87,Lamu,County population MALE % 
county_population,TOTAL,FEMALE,50.62,Narok,County population FEMALE %
county_population,TOTAL,MALE,49.38,Narok,County population MALE % 
county_population,TOTAL,FEMALE,51.01,Nyeri,County population FEMALE %
county_population,TOTAL,MALE,48.99,Nyeri,County population MALE % 
county_population,TOTAL,FEMALE,50.73,Taita Taveta,County population FEMALE %
county_population,TOTAL,MALE,49.27,Taita Taveta,County population MALE % 
county_population,TOTAL,FEMALE,50.71,West Pokot,County population FEMALE %
county_population,TOTAL,MALE,49.29,West Pokot,County population MALE % 
out_of_school_children,TOTAL,TOTAL,23.86,Baringo,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,5.55,Embu,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,86.73,Garissa,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,35.58,Isiolo,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,12.93,Kajiado,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,11.19,Kilifi,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,8.04,Kitui,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,15.05,Kwale,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,12.22,Laikipia,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,12.13,Lamu,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,5.52,Makueni,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,75.64,Mandera,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,52.58,Marsabit,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,8.65,Meru,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,16.19,Narok,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,3.09,Nyeri,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,24.01,Samburu,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,5.99,Taita Taveta,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,35.47,Tana River,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,6.78,Tharaka-Nithi,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,62.9,Turkana,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,76.71,Wajir,Out-of-School children % of SCHOOL-AGED CHILDREN
out_of_school_children,TOTAL,TOTAL,30.6,West Pokot,Out-of-School children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Baringo,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Embu,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Garissa,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Isiolo,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Kajiado,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Kilifi,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Kitui,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Kwale,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Laikipia,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Lamu,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Makueni,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Mandera,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Marsabit,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Meru,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Narok,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Nyeri,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Samburu,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Taita Taveta,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Tana River,School-aged Children % of SCHOOL-AGED CHILDREN
school_age_children,TOTAL,TOTAL,100,Tharaka-Nithi,School-aged Children % of SCHOOL-AGED CHILDREN
